GeneID	#Tissues	maxPeptides	medianSpectralCount	medianTop3Abundance	SpectralCount.CSF	SpectralCount.adipocyte	SpectralCount.bone	SpectralCount.breast	SpectralCount.heart	SpectralCount.lung	SpectralCount.ovary	SpectralCount.pancreas	SpectralCount.platelets_lysate	SpectralCount.platelets_secreted	WithInSampleTop3Abundance.CSF	WithInSampleTop3Abundance.adipocyte	WithInSampleTop3Abundance.bone	WithInSampleTop3Abundance.breast	WithInSampleTop3Abundance.heart	WithInSampleTop3Abundance.lung	WithInSampleTop3Abundance.ovary	WithInSampleTop3Abundance.pancreas	WithInSampleTop3Abundance.platelets_lysate	WithInSampleTop3Abundance.platelets_secreted
ENSG00000057663	1	3	28	0.000311494328414011	-	-	-	-	-	-	-	-	28	-	-	-	-	-	-	-	-	-	0.000311494328414011	-
ENSG00000058262	4	9	22	0.000256102757074163	-	-	33	22	-	9	-	12	-	-	-	-	0.00037372667686899	0.00123185461191166	-	0.00015457177435878	-	0.00010698989972309	-	-
ENSG00000058272	3	13	24.5	0.000321673559631315	-	-	-	-	-	5	-	13	51	-	-	-	-	-	-	0.000161379060635387	-	8.92243646577723e-05	0.000464857680104814	-
ENSG00000058404	1	4	46	0.000516525288508144	-	-	-	-	46	-	-	-	-	-	-	-	-	-	0.000516525288508144	-	-	-	-	-
ENSG00000058668	3	15	17	4.97068362401201e-05	-	16	-	30	37	-	-	-	-	-	-	3.48165288523824e-05	-	0.000786612526539906	0.000182709139090663	-	-	-	-	-
ENSG00000058729	1	3	3	5.90660678134521e-05	-	-	-	-	-	3	-	-	-	-	-	-	-	-	-	5.90660678134521e-05	-	-	-	-
ENSG00000058866	1	4	18	2.37865062977509e-05	-	-	-	-	-	-	-	-	18	-	-	-	-	-	-	-	-	-	2.37865062977509e-05	-
ENSG00000059377	1	19	283.5	0.000586022769192679	-	-	-	-	-	-	-	-	283.5	-	-	-	-	-	-	-	-	-	0.000586022769192679	-
ENSG00000059804	1	4	73	0.000837177402473614	-	-	-	-	-	-	-	-	73	-	-	-	-	-	-	-	-	-	0.000837177402473614	-
ENSG00000060069	1	5	8	0.000111320477330432	-	-	-	-	-	8	-	-	-	-	-	-	-	-	-	0.000111320477330432	-	-	-	-
ENSG00000060138	1	11	55	0.00581241343878285	-	-	-	-	-	55	-	-	-	-	-	-	-	-	-	0.00581241343878285	-	-	-	-
ENSG00000060339	1	9	16	0.000155662645977125	-	-	-	-	-	-	-	16	-	-	-	-	-	-	-	-	-	0.000155662645977125	-	-
ENSG00000060688	1	3	3	4.71768969674113e-05	-	-	-	-	-	3	-	-	-	-	-	-	-	-	-	4.71768969674113e-05	-	-	-	-
ENSG00000060762	1	3	11	4.29097236070695e-05	-	-	-	-	11	-	-	-	-	-	-	-	-	-	4.29097236070695e-05	-	-	-	-	-
ENSG00000060971	3	6	16	0.000145635689269713	-	-	-	10	13	-	-	-	47	-	-	-	-	0.000147278245206273	8.64946610410281e-05	-	-	-	0.000145635689269713	-
ENSG00000061676	2	23	55.5	0.00014501648633445	-	-	-	12	-	-	-	-	98	-	-	-	-	0.000152072366357298	-	-	-	-	0.000137960606311602	-
ENSG00000061794	3	6	8	0.000156897203605391	-	-	-	6	-	11	-	8	-	-	-	-	-	0.000156897203605391	-	0.000331737600386946	-	0.000111658805398218	-	-
ENSG00000061918	1	20	142	0.000496719362371926	-	-	-	-	-	-	-	-	142	-	-	-	-	-	-	-	-	-	0.000496719362371926	-
