GENE	adrenal_gland	bcells	cd4tcells	cd8tcells	colon	esophagus	fetal_brain	fetal_gut	fetal_heart	fetal_liver	fetal_ovary	fetal_placenta	fetal_testis	frontalcortex	gall_bladder	heart	kidney	liver	lung	monocytes	nkcells	ovary	pancreas	platelets	prostate	rectum	retina	spinalcord	testis	urinarybladder
ENSG00000164512	x	x	x	x	x	71.9060063809347	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000180448	x	946.156632959864	713.006102930421	562.894996489463	13.6567308327816	x	x	x	4.73200357796448	5.37486897222017	x	x	4.54119683777658	9.26250350098722	38.1468104046604	x	x	12.6145961199245	x	460.784665508567	428.054755203269	x	10.4903004310387	586.426656305284	14.8974290254808	19.3429577870535	6.67191050398013	36.3311433415661	x	10.7435325834228
ENSG00000086015	x	x	x	x	x	x	x	x	x	x	x	x	3.38175916483432	x	x	x	x	x	28.7488419376581	x	x	x	x	x	x	x	x	x	13.9494391419089	8.55766023704311
ENSG00000102858	x	x	x	x	x	x	5.07745473886855	4.94272037565472	x	x	3.40669203077365	x	x	15.4002636030033	x	x	x	x	x	x	x	3.90104658618448	6.97666206098498	x	6.60510653446221	x	7.50217197183083	x	4.98315217408704	x
ENSG00000197386	31.9883718263411	45.2126398331292	56.9002960135576	36.4245243798207	6.06266908662654	5.68497532288777	21.3666067894713	4.28860612105929	7.09476414120497	6.19230086804267	10.7329067476939	6.25857184138837	10.7519235837758	74.9195651804265	4.51589751652899	3.11234903321942	x	19.9112228731357	x	44.8855681695457	18.8876886906156	58.9559056212204	13.9709614793066	31.3257436644906	4.40897037164978	3.91193861817479	25.4889878389313	8.53251571592852	23.5904284664209	7.94900864540889
ENSG00000084734	x	x	x	x	x	x	x	x	x	10.5063198162382	x	x	x	x	x	x	x	159.508039688334	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000114779	515.169764003505	390.142841089501	1021.25173205866	1309.97838353703	205.183113460957	205.120447564151	65.9680613297313	278.002646793046	125.771550228208	615.00514190646	191.453433217984	160.380360485758	242.625694039947	53.6043102601746	260.132923187778	25.968760743272	781.885359722454	663.460027572712	203.81942675624	403.69576350365	443.03796778434	275.353407257793	393.079408873299	484.171989237689	308.002793349314	228.576425040271	196.344385370081	152.832666359221	409.019619782856	171.723910879563
ENSG00000151617	x	x	x	x	x	x	x	7.68004314717813	5.0513483439892	x	x	x	x	x	x	x	x	x	x	x	x	18.0898109774071	x	x	x	x	x	x	x	x
ENSG00000114423	12.7167247746642	12.199937146931	18.0517204855466	47.6713197172039	x	29.181173792871	9.62319961570219	x	x	x	x	x	x	x	x	x	x	x	11.770321152482	x	8.94161145479461	x	x	x	x	4.06354270521531	x	x	2.3611174571172	3.38548043723934
ENSG00000128394	7.91803226038618	30.7036280089801	11.5637559501218	12.5390865861827	x	x	x	11.2374715527596	x	x	12.0498239664273	x	17.9639115468883	x	x	x	x	13.3388194061959	x	12.2501825212263	12.0264336854422	15.0640776930065	x	x	7.87635662285073	x	x	x	18.8036707381986	x
ENSG00000095587	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	9.93327621824775	x	x	x	x	x	x	x	x	x	x
ENSG00000169738	264.580328099201	658.824618608868	647.459591949613	595.217271906994	360.954649330512	307.129567958862	210.318084229327	305.976465020152	412.202331374764	726.080783589924	408.309888224285	405.167714959793	317.420946224547	789.923578025947	524.210794331641	1096.78294518669	2519.72387679759	6543.04506699299	542.201454457882	192.094539610682	710.572569327147	971.755702629545	511.441282255219	365.789022243641	1102.53849546466	412.948610744842	788.610552217505	710.60039318262	1093.66477712412	258.983106690023
ENSG00000203747	14.0058379737555	x	13.4860426535187	73.997991006698	12.6309980191506	x	x	x	x	28.760876543075	x	x	x	x	70.5633423632527	x	x	23.3342723897998	24.8688448467179	119.83727139533	170.364121669436	x	9.70239258481136	x	x	x	x	16.6989176068172	x	x
ENSG00000182858	3.98713624476268	3.86521373159778	8.31939599400668	x	x	x	6.89273762305043	x	3.77941145582098	9.72159959648502	4.09121426125621	8.44497759308086	14.4862764185133	x	x	x	5.02589055467611	19.1641241828282	43.2477349393542	12.3371931634331	x	10.4861731390063	4.18925735904939	x	11.8984512571738	5.14968589558127	x	3.60509342726613	5.98443976046901	x
ENSG00000100578	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	4.68535159379906	x	x
ENSG00000110066	x	x	x	x	x	x	x	16.3219008464527	x	x	x	x	x	3.39032700528682	x	x	x	x	x	x	4.1203724997895	x	x	x	3.6352415182388	x	x	4.77018052775549	x	x
ENSG00000179456	x	5.36974642016311	x	x	x	x	59.2985008778533	8.24642389342549	x	x	5.68371755329024	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000214107	x	x	x	x	x	x	x	x	x	x	40.6583331618278	x	33.7655182364937	x	x	x	x	x	x	x	x	147.752662099994	x	x	x	x	x	x	128.684697421661	x
ENSG00000237649	x	x	x	x	x	x	x	x	11.3316755320916	11.38855047426	20.3912216175214	16.6964634600823	14.3418581580335	x	x	x	x	11.0135574129586	x	x	x	27.787388377201	x	x	x	22.4010945412682	x	x	88.7382281555133	18.146287671897
ENSG00000182378	x	x	5.6569381749824	x	x	10.8897057057744	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000105619	x	85.8045371952204	x	14.5369867970484	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	13.4436565761748	x	x	x	x	x	13.3337358005569	x	x	x
ENSG00000100024	6.763214619366	6.55640249335705	x	x	x	x	x	x	x	34.4763633344956	21.3727718555235	x	x	x	68.4585375994026	x	92.7445725279716	652.59775459619	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000155962	52.3575820213849	x	11.733619031875	x	190.517562578743	63.3103018646187	x	19.5348108933195	22.8472895916861	88.0463642640132	27.5137001622426	x	78.4585113610092	7.45361157433491	56.7674950074841	44.9559021915005	80.6364886464307	49.7889860467042	367.569129466538	12.4301287051539	13.6816257634921	97.4834276986506	72.2670264633028	x	67.4904210080704	81.4627726424162	6.05165786804935	29.0580035192073	102.777893306433	93.3823368230649
ENSG00000167554	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	11.8010662061484	x	x	18.0329983254327
ENSG00000158773	x	28.7197079147795	57.8826322084591	36.9256811923327	32.2939739061848	x	x	x	28.7131026281748	25.4198285758681	36.3386767532718	x	x	x	30.6439574168515	x	x	9.94321513013052	31.7913843917644	36.8326501258575	26.8947529180254	20.6976669594849	37.2095078100402	x	23.4852293768233	x	17.7832336908368	x	x	12.7025774014846
ENSG00000157911	22.2896331342532	7.20267971579524	x	5.95580730913961	x	x	x	x	x	x	15.8557039827936	x	x	x	x	x	x	6.25823397427581	x	x	x	x	x	x	x	x	5.59636072437165	x	x	x
ENSG00000104231	x	15.3572431084475	34.3722970168754	29.4949734062626	x	x	12.7802120229037	11.470398674583	7.43650286452454	x	24.1500510824429	x	14.2732873025519	x	x	x	11.0902065354115	x	x	x	17.6907791697472	6.87765432066736	8.24293007389269	36.9771973409542	x	20.2654060620521	x	x	5.88759704275638	12.8363667103874
ENSG00000169184	x	x	x	x	x	x	x	x	5.52867268459379	x	x	x	x	x	x	x	x	x	x	x	x	x	6.29301316257598	x	x	3.64621751473793	x	x	x	x
ENSG00000226650	x	x	x	x	x	x	x	x	4.61851331398863	x	x	x	x	8.34279135671544	x	x	x	x	x	x	x	4.2714349241422	x	x	x	x	x	x	7.3131002098011	x
ENSG00000188095	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	13.671974704871	x	x	x	x	73.9483162515552
ENSG00000124198	60.3518488039587	60.9629479760635	25.7482495004314	39.528366202464	36.257756401561	12.1886516417889	14.7413676896658	5.82469133650522	8.25362416604314	17.0627287731016	15.1317869515435	25.5200124960363	6.57632199090127	65.8238641177114	7.36562678983795	7.49085691783405	17.4450386830054	27.4602034779604	10.9401474715455	33.8034779509582	45.7512600945849	63.6640016446189	50.6383345479309	7.253610370184	26.3678210756392	9.33715077090821	36.3017434244713	9.6820258978909	68.7210010903383	10.3721452166664
ENSG00000134769	32.9539515535489	x	x	x	87.130433610767	31.6358688716163	10.0038781653574	x	12.5972586706506	7.13257014925619	x	x	5.95048576750056	69.6104769503304	39.2346925373941	72.6709548404707	x	x	22.020481292517	x	x	48.7436086574988	20.8276047351707	x	113.72914869426	76.0393512478806	9.57620234755698	45.1706605953444	8.31624877253854	198.150177081201
ENSG00000115841	268.986561073469	54.4181406948635	x	18.4740734660063	25.9527546277862	x	x	x	x	24.2187062644861	85.4269099093558	x	63.7284608044659	26.03860359192	x	14.5414617185673	24.513823964961	154.169842863289	36.9848629195216	x	x	27.3968896982563	29.4901669354135	23.3558031132987	33.4005844583373	12.0836927812982	21.1409889995671	25.3779603103603	30.8100661639259	20.1346994425287
ENSG00000147571	x	x	x	x	x	x	21.1423504194624	x	x	x	x	x	x	47.3425023456905	x	x	x	x	x	x	x	x	14.5252928521803	x	x	x	x	x	x	x
ENSG00000159714	x	x	x	x	15.0521469614025	x	x	30.6655309242499	81.630973726997	111.85164019206	32.0781577396981	x	x	x	111.48111832084	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000116128	x	x	9.92442132195862	2.65708449803063	x	x	10.3926877022078	x	x	7.50296508287738	5.17079097890334	x	6.18175663836232	x	x	x	x	x	4.57526533895495	x	2.58037689937729	x	x	x	x	4.38847077753422	4.54110761126268	x	2.54991659115237	x
ENSG00000122591	x	3.13863450922792	x	x	x	x	2.47572639426504	x	4.31609293710172	1.74294718967115	4.98322750953647	6.85749869059461	4.04524474352186	2.77185554828111	2.47402778870932	x	x	x	x	7.5974201899268	x	2.83833074264166	x	8.08245140750111	4.83089582043558	x	1.21933305302201	x	3.6446178248284	3.48388212255942
ENSG00000143375	50.702414227137	x	x	x	77.5318685779001	x	x	159.273724722238	22.3031509498464	131.57032461295	25.7961064204133	x	7.62307369389878	x	6.4035089710907	x	10.1108807976143	138.14846593689	75.0656719951905	x	3.18200867693785	315.087479127688	199.980563188416	x	37.882009162402	80.0943758532009	24.8918873049402	x	216.966798033504	6.85564350531198
ENSG00000167977	x	x	12.55147402483	13.4417215782726	x	x	13.1436932704393	x	x	x	17.4884060896114	14.1394561263208	31.2724159352447	x	x	x	x	x	x	x	12.9534316552847	10.0983981934872	x	x	9.30945636990711	x	12.9469392745133	x	19.3493670740386	x
ENSG00000035862	11.7795934211707	x	x	x	15.9789733977207	16.4210321253285	9.51516880894719	11.4070572459373	5.53665150291408	x	10.4378721742876	31.5906052393316	30.504171614626	x	25.43465056675	x	14.0948779136513	x	15.7302934271408	9.0366899540481	x	8.55215067251156	34.4999593386155	x	23.7576081423847	x	4.39954864175001	15.8438525486368	26.5310720929836	18.8556057210975
